n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
5,50,0.2,5,2,0.093034096912185,1331.41207349855,1.47342987208794,0.162,0.668,0.122,0.406,-1.34573828662168
5,50,0.1,3,1,0.154828084627635,1689.46371187185,1.58918486296343,0.225,0.668,0.136,0.406,-1.35461721607512
5,30,0.35,8,1,0.098956706656965,1835.00570346439,1.79763025507422,0.126,0.699,0.085,0.456,-1.35505603367724
5,20,0.5,10,2,0.0870239148336384,1370.6314042969,1.8138548915103,0.099,0.699,0.08,0.456,-1.35983000410255
5,40,0.5,11,1,0.0761251514608791,1538.03305816979,1.76958496634549,0.085,0.714,0.06,0.48,-1.36293169226518
5,30,0.5,10,1,0.0867853949712816,1734.06664779855,1.7375519645763,0.1,0.714,0.071,0.48,-1.36526646909642
5,40,0.45,10,1,0.0834887731170615,1607.02985994242,1.83652615603529,0.096,0.714,0.069,0.48,-1.37881234948935
5,30,0.3,7,1,0.089187519280916,1819.0247673789,1.90715048176558,0.127,0.699,0.088,0.456,-1.3805762905267
5,40,0.35,7,1,0.0934360156447284,1803.7536649684,1.87006799522812,0.114,0.714,0.075,0.48,-1.38638310062966
5,40,0.4,10,1,0.0696641657084381,1607.31175201548,1.78257676326147,0.095,0.714,0.07,0.48,-1.38722792301693
5,30,0.6,12,1,0.0808084101929623,1655.84410439844,1.77375609435189,0.11,0.714,0.071,0.48,-1.3887749940223
5,20,0.6,11,2,0.0734503673225523,1312.22189369678,1.86471636395466,0.105,0.699,0.084,0.456,-1.39141017438808
5,30,0.45,9,1,0.0988756549291006,1800.25968787639,1.82462027500066,0.123,0.714,0.083,0.48,-1.39357338817715
5,40,0.6,12,1,0.0713315353005438,1523.25763552414,1.77042759075215,0.102,0.714,0.072,0.48,-1.39754834199846
5,10,0.3,7,1,0.0911325575743734,1913.30031574588,1.9908597496402,0.125,0.714,0.087,0.48,-1.41828840160235
5,40,0.25,6,2,0.107479579850371,1580.33670939604,1.66209119105299,0.143,0.714,0.107,0.48,-1.42371270378513
5,30,0.2,4,1,0.115946125953368,2034.78959454977,1.94921849856215,0.179,0.699,0.116,0.456,-1.42723624417536
5,30,0.25,5,2,0.123170237903296,1710.00506245792,1.68564953744719,0.182,0.699,0.131,0.456,-1.42789446271853
5,20,0.35,7,2,0.0950965023830885,1417.90561838899,1.84602745935734,0.126,0.714,0.092,0.48,-1.4306109626332
5,40,0.3,5,1,0.110999730593828,1843.09785068306,1.98560314908018,0.152,0.714,0.102,0.48,-1.44340569178004
5,20,0.3,5,2,0.111389115485728,1417.24655594122,1.80740221034067,0.168,0.699,0.128,0.456,-1.44948877775128
5,20,0.25,5,2,0.113139615080105,1409.96087371303,1.78271439136798,0.174,0.699,0.137,0.456,-1.46063378037104
5,30,0.15,4,2,0.152738966524571,1426.26654040637,1.50402121735062,0.224,0.699,0.16,0.456,-1.46534982819017
5,40,0.2,5,2,0.115432076850046,1557.60328363302,1.74027526864487,0.176,0.714,0.116,0.48,-1.46671528583279
5,30,0.1,3,1,0.145780915973711,2062.67596048599,1.7786421708608,0.237,0.699,0.154,0.456,-1.47494950308807
5,20,0.2,5,2,0.0827757267055335,1123.23159159722,1.76212586101649,0.174,0.699,0.137,0.456,-1.50327527981625
5,20,0.15,4,2,0.122156158105634,1086.72428157097,1.74949209535678,0.209,0.699,0.159,0.456,-1.52145683735149
5,40,0.15,4,2,0.135306638212489,1279.70840733138,1.5337096989445,0.218,0.714,0.164,0.48,-1.53007891131539
5,40,0.1,3,1,0.141014910872911,1521.70479134706,1.63148617699587,0.241,0.714,0.161,0.48,-1.54204846725932
5,20,0.1,3,1,0.122929311435618,1369.05345152502,1.97136595695567,0.236,0.699,0.153,0.456,-1.5497546116837
2,30,0.2,4,1,0.104891425911035,773.392023481977,2.24059321726611,0.183,0.714,0.122,0.48,-1.57949829464148
2,10,0.6,12,2,0.0673944935136104,1280.48726802767,1.95831845774535,0.144,0.735,0.129,0.51,-1.58241298885954
2,10,0.4,8,2,0.0792762849514038,1442.41385605206,1.99843650361328,0.15,0.735,0.139,0.51,-1.58244667260732
2,10,0.35,8,3,0.0722845691961299,1357.70267310162,1.95694733307307,0.147,0.735,0.135,0.51,-1.5825250304561
2,10,0.45,9,2,0.0770410207058843,1395.02459287665,1.98372395295995,0.154,0.735,0.139,0.51,-1.58958014494628
2,10,0.5,11,2,0.0662750180398419,1301.71980165176,1.95709453243975,0.153,0.735,0.134,0.51,-1.59634844512154
2,10,0.3,7,2,0.0811513190719548,1412.4083673992,1.88918363090355,0.162,0.735,0.158,0.51,-1.60214662564844
2,30,0.6,10,3,0.0479054651157825,635.651336906362,2.63812692564598,0.133,0.714,0.106,0.48,-1.6171246606035
2,50,0.2,5,2,0.0729217559375616,852.422875358711,2.45327232019591,0.179,0.714,0.131,0.48,-1.63378433231409
2,50,0.15,4,2,0.103564215743015,681.049985985262,1.98219951340459,0.22,0.714,0.161,0.48,-1.63560323629818
2,50,0.6,9,2,0.0461430440819952,722.174073239335,2.78230293562864,0.141,0.714,0.112,0.48,-1.6429785458189
2,50,0.45,7,2,0.0502184960406306,794.825545253484,2.85320066846312,0.139,0.714,0.119,0.48,-1.64736029354301
2,20,0.3,6,2,0.0657730888208111,794.104950050693,2.42066685112044,0.165,0.714,0.152,0.48,-1.6475883487887
2,10,0.25,6,2,0.0809817515634093,1528.25087380601,1.98127239413296,0.185,0.735,0.177,0.51,-1.64773294415959
2,50,0.4,7,2,0.0476644144976231,768.735932044697,2.86602302756852,0.137,0.714,0.119,0.48,-1.65050109165699
2,20,0.6,10,3,0.0428632025349927,690.138716933077,2.55032105502823,0.15,0.714,0.13,0.48,-1.65166196712118
2,50,0.5,8,2,0.048559346299942,745.563291827179,2.85594816563509,0.143,0.714,0.118,0.48,-1.65475730567221
2,10,0.2,5,2,0.104692952383025,1510.27507698695,1.93491008957632,0.198,0.735,0.202,0.51,-1.65828430272526
2,20,0.5,8,2,0.0436490892737532,728.546644651916,3.06685203381526,0.129,0.714,0.113,0.48,-1.66260878187518
2,20,0.4,7,2,0.0507610029807934,785.895200112914,2.79208909576073,0.149,0.714,0.131,0.48,-1.66315314658963
2,20,0.45,7,2,0.0482477791186094,788.807267909497,2.82423247523126,0.145,0.714,0.132,0.48,-1.66573510500904
2,20,0.1,3,1,0.103806665829695,926.612882215918,2.25142071725256,0.241,0.714,0.161,0.48,-1.67100476178477
2,50,0.1,3,1,0.101966277926622,931.791810571512,2.24667175236405,0.241,0.714,0.161,0.48,-1.67211130678121
2,30,0.1,3,1,0.100961789888634,915.427284258129,2.26567707952706,0.241,0.714,0.161,0.48,-1.67583455385117
2,30,0.15,3,1,0.101178580316537,918.9877560183,2.26976561221771,0.241,0.714,0.161,0.48,-1.67584859310432
2,40,0.3,6,2,0.0599919083719327,662.240845193521,2.74159159800147,0.168,0.714,0.136,0.48,-1.67905520916854
2,30,0.45,7,2,0.0397297952557953,730.17933366876,2.80515007970113,0.149,0.714,0.134,0.48,-1.68127624603088
2,40,0.35,6,2,0.0587866069771218,693.556371377042,2.86514910995057,0.178,0.714,0.118,0.48,-1.68305048544908
2,40,0.25,6,2,0.0620422384908316,620.758759888237,2.69243979965005,0.172,0.714,0.142,0.48,-1.68416380347976
2,30,0.25,5,2,0.0888044207831982,677.413369549285,2.27406933176879,0.202,0.714,0.184,0.48,-1.68473184391622
2,20,0.35,7,2,0.0451310243681197,752.678746105411,2.56320720572507,0.161,0.714,0.16,0.48,-1.68855575889912
2,30,0.35,6,2,0.0565418172571509,741.152381835621,2.76963340870129,0.162,0.714,0.15,0.48,-1.6893639045212
2,30,0.3,6,2,0.0569839661898307,735.386528614528,2.77799634103763,0.162,0.714,0.15,0.48,-1.69004634148321
