n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,mean_sum,max_sum,score
12,30,0.6,22,2,0.0582363795608355,2277.17050193392,1.40125190152084,0.038,0.16,0.034,0.182,0.072,0.342,-0.382030285494553
12,30,0.35,11,1,0.0423596466230354,2594.97327157079,1.58441526017852,0.03,0.153,0.03,0.191,0.06,0.344,-0.390333215816277
12,30,0.45,19,1,0.0567655038608427,2268.67275067454,1.55161399090284,0.04,0.159,0.034,0.182,0.074,0.341,-0.399962257695714
12,30,0.5,18,1,0.0459469532123175,2296.50967027234,1.50652376813206,0.036,0.159,0.035,0.182,0.071,0.341,-0.401879940087272
12,30,0.25,9,1,0.0255504424691027,2733.20645349927,1.54991262883559,0.036,0.153,0.037,0.191,0.073,0.344,-0.409780497739493
5,50,0.15,4,2,0.115615828020652,1142.44403906953,1.77087763339707,0.033,0.119,0.053,0.202,0.086,0.321,-0.411349733365579
12,10,0.25,10,1,0.0116006431112562,2521.70403065754,1.48277138076108,0.041,0.187,0.03,0.152,0.071,0.339,-0.420591293431975
2,50,0.5,5,1,0.0401964398660581,728.023020616754,3.7800914860617,0.023,0.053,0.024,0.077,0.047,0.13,-0.478411557709274
2,50,0.45,5,1,0.0403212632788179,730.924334140853,3.73597169078426,0.027,0.068,0.024,0.074,0.051,0.142,-0.489729689092566
2,50,0.4,5,1,0.0403610483268209,692.581588944944,3.5375698873056,0.111,0.398,0.085,0.273,0.196,0.671,-1.14576686095649
8,10,0.6,22,1,0.0518917077212765,2209.14074288832,1.4928993719108,0.067,0.668,0.045,0.406,0.112,1.074,-1.17294119232539
8,40,0.3,11,1,0.0426142363064953,2558.10576238171,1.40311745132267,0.087,0.668,0.062,0.406,0.149,1.074,-1.19279222070669
8,10,0.5,19,1,0.032670375013291,2193.20155214116,1.51977793147372,0.071,0.668,0.048,0.406,0.119,1.074,-1.20264734052702
5,50,0.6,12,2,0.0712049200685265,1228.87957337342,1.91875568188675,0.078,0.668,0.061,0.406,0.139,1.074,-1.27222666945148
5,50,0.45,9,1,0.0781688640124962,1392.96542116126,1.94629669460936,0.094,0.668,0.068,0.406,0.162,1.074,-1.28281253439038
5,20,0.35,8,3,0.0945634367785081,1371.04100337088,1.76651231785051,0.119,0.668,0.094,0.406,0.213,1.074,-1.300535744838
5,20,0.45,9,2,0.0797613036849998,1341.68720517702,1.83492855318035,0.113,0.668,0.091,0.406,0.204,1.074,-1.31464719137418
5,20,0.5,10,2,0.0808667548153701,1371.75241427964,1.87021641325536,0.121,0.668,0.086,0.406,0.207,1.074,-1.31856726579618
5,50,0.4,8,1,0.0759485778606466,1393.12646446169,2.00901596400846,0.113,0.668,0.079,0.406,0.192,1.074,-1.32129669531711
5,40,0.4,9,2,0.0935618281873093,1588.54630303833,1.73995677982876,0.116,0.683,0.09,0.432,0.206,1.115,-1.32200653464365
5,10,0.25,5,2,0.126837747923609,1639.90872605458,1.7289227033698,0.167,0.668,0.119,0.406,0.286,1.074,-1.32405908611064
5,50,0.3,6,1,0.0912559552331528,1543.42548228543,2.02815228981059,0.126,0.668,0.096,0.406,0.222,1.074,-1.33038799963363
5,20,0.6,12,3,0.0703227486434113,1266.45486424039,1.88358196951751,0.115,0.668,0.087,0.406,0.202,1.074,-1.33071270509632
5,20,0.3,6,2,0.0963331766613671,1452.4518650375,1.87005327614372,0.147,0.668,0.104,0.406,0.251,1.074,-1.34304955770113
5,20,0.4,8,2,0.0615225814354104,1357.39635091128,1.8528835160043,0.128,0.668,0.091,0.406,0.219,1.074,-1.34889595261946
5,50,0.25,5,2,0.106491315788512,1424.21657363746,1.81145925340217,0.161,0.668,0.113,0.406,0.274,1.074,-1.35144378086983
5,10,0.6,12,1,0.0909159500126941,1544.53124200765,1.77258290791379,0.093,0.714,0.062,0.48,0.155,1.194,-1.3581157786783
5,50,0.2,5,2,0.106629589516434,1404.20441370966,1.79721032720728,0.161,0.668,0.123,0.406,0.284,1.074,-1.36088122251881
5,20,0.25,6,2,0.0891408531424907,1486.74232843147,1.8642677367305,0.154,0.668,0.111,0.406,0.265,1.074,-1.36194880410899
5,40,0.35,8,3,0.08234918427043,1315.68835033028,1.81502872723357,0.119,0.683,0.097,0.432,0.216,1.115,-1.36436927093641
5,40,0.6,12,1,0.0817066028583021,1489.35039154046,1.7443869850778,0.087,0.714,0.067,0.48,0.154,1.194,-1.36626457607245
5,40,0.3,7,3,0.0861197719507327,1372.46456568611,1.76565602693167,0.132,0.683,0.098,0.432,0.23,1.115,-1.36682260245813
5,50,0.35,7,1,0.0542874007397688,1382.81468157939,2.08190550039305,0.131,0.668,0.09,0.406,0.221,1.074,-1.37976241522057
5,20,0.2,5,2,0.102896977274738,1373.01951504924,1.87597807526303,0.17,0.668,0.124,0.406,0.294,1.074,-1.3840498544991
