n_layers,n_latent,resolution,n_clusters,silhouette,calinski_harabasz,davies_bouldin,score
10,50,0.6,20,0.0597779005765915,2302.2451171875,1.40318094956381,0.958842068200283
8,30,0.6,18,0.0451595038175583,2432.32080078125,1.5325086591759,0.94497164542291
8,10,0.6,21,0.0797123312950134,2321.10571289063,1.47037988941761,0.930438154768024
8,50,0.3,8,0.0953165218234062,2497.55908203125,1.66361513803872,0.929260465815938
12,20,0.45,18,0.062717042863369,2393.96655273438,1.53329741763788,0.923386177959861
10,50,0.5,18,0.0413870066404343,2342.81079101563,1.46965367331806,0.914544124337995
8,20,0.3,9,0.110863238573074,2395.51684570313,1.5925816759884,0.913798408287795
10,10,0.6,19,0.0455258712172508,2403.31982421875,1.56738852932389,0.881457166112108
8,50,0.35,10,0.10834264755249,2386.30932617188,1.61862990356115,0.876022070163218
10,50,0.4,16,0.0551716424524784,2304.87573242188,1.48839119231746,0.871656182556889
8,30,0.5,17,0.0106104519218206,2387.77856445313,1.53264401647704,0.865744999897905
8,50,0.2,6,0.12094234675169,2228.76171875,1.48648453622943,0.863219529272257
12,20,0.5,19,0.0492914654314518,2316.22485351563,1.516916035594,0.848600283353078
10,20,0.6,21,0.0532637797296047,2234.34106445313,1.45184168533139,0.835763158851341
8,50,0.4,10,0.101952612400055,2408.57275390625,1.71585923030779,0.794666135998512
8,20,0.2,6,0.125473916530609,2207.36865234375,1.55948087210739,0.773361696766967
12,30,0.6,21,0.0373211167752743,2262.8125,1.53918492578825,0.760948690987023
8,20,0.45,12,0.114294402301311,2205.5673828125,1.58732949976771,0.732532285346102
8,20,0.4,12,0.0999003872275353,2083.58569335938,1.48679979642006,0.696686284166846
12,20,0.6,19,0.0492916740477085,2239.91479492188,1.60485018614855,0.684356282821038
8,20,0.5,12,0.0892002061009407,2143.64453125,1.65426401863118,0.578580718719761
5,40,0.25,6,0.114699140191078,2228.8720703125,1.79313597283602,0.550435237667561
8,50,0.5,13,0.0790449008345604,2105.09448242188,1.65881189680558,0.525327486450857
8,50,0.45,14,0.0428762659430504,1913.05419921875,1.44656310132419,0.509367363837615
8,50,0.6,15,0.0669990256428719,2047.61083984375,1.64215553143892,0.472454334047698
5,40,0.4,11,0.100461453199387,1786.4912109375,1.48807195812777,0.398880706009112
8,20,0.1,4,0.178619354963303,1466.41174316406,1.2518511360221,0.393179962105263
5,40,0.3,8,0.105720110237598,1916.29443359375,1.64125623633964,0.380758307491707
5,40,0.35,10,0.108568131923676,1774.61071777344,1.53852608666312,0.34465276303399
5,40,0.2,5,0.130513444542885,1835.17712402344,1.63161504358899,0.334075524977333
8,20,0.6,15,0.0557009689509869,1938.65710449219,1.66637803973083,0.327980033712342
5,40,0.15,5,0.123201735317707,1787.14343261719,1.62582950332973,0.284515664605166
5,40,0.6,14,0.0806187987327576,1688.54626464844,1.64172662020835,0.12743844317285
5,50,0.45,8,0.103291854262352,1817.92712402344,1.80318633970924,0.118032638576552
5,40,0.5,13,0.0742256194353104,1672.99963378906,1.68864054662904,0.0585847065953378
5,40,0.45,13,0.0851978063583374,1605.86364746094,1.66594962746323,0.0251118263560404
5,40,0.1,4,0.147177144885063,1222.93212890625,1.38578798009385,-0.015678706302537
5,50,0.5,10,0.0934671014547348,1644.72485351563,1.8041027695734,-0.0659108146030365
5,10,0.25,5,0.115620359778404,1629.29809570313,1.81352708730663,-0.0686086318251005
5,10,0.1,3,0.141017705202103,1515.26196289063,1.72842175934073,-0.0721420912480022
5,30,0.35,9,0.0870981588959694,1550.89453125,1.71456507394607,-0.0765723838001038
5,10,0.15,5,0.10994965583086,1586.23864746094,1.83032606624697,-0.13413776295517
5,50,0.4,8,0.0937813073396683,1760.84729003906,2.00193989821369,-0.147311300834956
5,20,0.1,2,0.447460681200027,114.301055908203,0.709241647933083,-0.147479910824853
5,30,0.4,9,0.0742316544055939,1559.86791992188,1.78749217959684,-0.153392605269371
5,30,0.45,10,0.0803791806101799,1437.25061035156,1.67918901766591,-0.161559226704164
