n_layers,n_latent,resolution,n_clusters,n_small_clusters,silhouette,calinski_harabasz,davies_bouldin,dn_im_mean,dn_im_max,pool_im_mean,pool_im_max,score
10,10,0.6,20,0,0.0372974609380668,2115.31184236673,1.52194417492351,0.032,0.15,0.028,0.085,-0.304131364435948
10,30,0.45,14,1,0.0962367498738059,2457.62355539706,1.51422632388001,0.036,0.139,0.034,0.17,-0.311304704744342
10,40,0.45,16,1,0.0406289735840536,2327.55816546227,1.56196475029838,0.031,0.098,0.036,0.149,-0.313189593172671
12,30,0.4,15,1,0.0619537242231366,2541.47342714258,1.50321238193913,0.026,0.119,0.035,0.175,-0.316293842613647
10,40,0.5,18,1,0.0653625448411962,2217.2916884084,1.47252370214459,0.035,0.116,0.03,0.167,-0.319025240952843
10,30,0.6,18,1,0.088037179233958,2356.49218294716,1.53284057361224,0.037,0.141,0.03,0.171,-0.326422268979908
10,10,0.1,5,1,0.0637929274934699,2616.09944324493,1.71322803881069,0.031,0.118,0.038,0.164,-0.327724904225353
10,30,0.5,16,1,0.0788321898081808,2406.24998817543,1.50410551206941,0.037,0.141,0.032,0.171,-0.332265861989989
12,30,0.6,21,2,0.0489800252644823,2211.57857892455,1.50556852159023,0.026,0.119,0.027,0.175,-0.337997897948313
8,50,0.3,9,1,0.081095978677404,2327.68943071485,1.66132870290466,0.041,0.136,0.041,0.157,-0.34365242007732
12,40,0.5,17,1,0.0627280862817674,2461.9193775102,1.47932361181161,0.034,0.133,0.036,0.181,-0.346108306023884
8,40,0.2,5,1,0.119470265462232,2789.62912993175,1.74976435774695,0.045,0.159,0.046,0.182,-0.348024713815876
8,40,0.15,5,1,0.120103599535545,2606.33328235478,1.67506748816864,0.045,0.159,0.047,0.182,-0.35008648516358
8,30,0.25,6,1,0.11272894934303,2367.55474390774,1.76843278388687,0.038,0.167,0.035,0.165,-0.35073659185027
10,40,0.3,12,1,0.0380361665407674,2344.12089544572,1.50137418452173,0.032,0.118,0.038,0.17,-0.35289520713912
12,20,0.35,13,1,0.0659622363565398,2513.17344231736,1.52000407088357,0.034,0.145,0.037,0.182,-0.358379498615949
12,20,0.3,12,2,0.0490244589346841,2524.26796728948,1.40184529804277,0.033,0.145,0.034,0.182,-0.358946672505119
12,40,0.4,14,1,0.0506885857770624,2493.7427043472,1.47847702021419,0.035,0.133,0.039,0.181,-0.360471981026997
8,30,0.1,3,1,0.170242917618958,1998.9451625948,1.54680268626552,0.058,0.165,0.065,0.192,-0.364490092877854
12,20,0.5,18,1,0.0821760504901598,2355.51831458656,1.50139270174231,0.04,0.162,0.034,0.182,-0.368187303954743
8,30,0.3,8,1,0.117533811006989,2358.35438049309,1.59793556010725,0.046,0.165,0.042,0.192,-0.369342025979082
12,20,0.4,13,1,0.0569027043857384,2425.73762013744,1.58908980822025,0.034,0.145,0.039,0.182,-0.380719395429415
12,20,0.45,16,1,0.0429490114572776,2292.81196765783,1.53310823699087,0.034,0.145,0.033,0.182,-0.389721213858918
8,30,0.2,5,1,0.113611417590826,2512.51628892772,1.85316704385723,0.046,0.165,0.046,0.192,-0.395079472348511
10,10,0.2,8,1,-0.00544821835002992,2497.96671106894,1.73844349236504,0.04,0.118,0.035,0.164,-0.411394232033087
12,40,0.6,20,1,0.048290751985727,2263.58887540775,1.47408585177768,0.039,0.187,0.038,0.181,-0.430938389421654
2,10,0.2,4,1,0.1323265468494,1386.10210375746,1.92441642263307,0.047,0.176,0.055,0.214,-0.482809990226034
5,50,0.15,3,1,0.125665174354061,1396.3645186544,1.88639785867298,0.059,0.169,0.069,0.203,-0.493156385580517
2,10,0.25,5,1,0.0605882462634501,1283.84724783119,2.06327423264556,0.04,0.176,0.046,0.214,-0.557546814609546
12,10,0.35,13,2,0.0758754025273874,2583.28047101899,1.39191995317539,0.073,0.645,0.052,0.37,-1.0741525692392
12,10,0.5,18,2,0.0745325611845181,2382.80522338952,1.42052626536692,0.063,0.645,0.051,0.37,-1.0773798041827
12,10,0.6,21,3,0.0592033107988784,2253.40792242693,1.4102247480346,0.057,0.645,0.047,0.37,-1.08814876788324
12,10,0.4,13,2,0.0797096748592026,2531.02977317158,1.44801001519396,0.079,0.645,0.066,0.37,-1.09853983800161
12,10,0.45,17,2,0.0581317430495319,2296.17711667138,1.47634834780202,0.065,0.645,0.051,0.37,-1.1056942358971
8,20,0.2,8,1,0.133527299051931,3171.36569851782,1.43726971611805,0.111,0.699,0.079,0.456,-1.19663138763398
8,20,0.35,15,1,0.0886750131315502,2838.33876726685,1.40393408188606,0.081,0.699,0.065,0.456,-1.21080145669371
8,40,0.5,13,1,0.0923067203699873,2093.20558200324,1.57865858458174,0.085,0.682,0.057,0.43,-1.21489885898802
8,20,0.4,15,1,0.069189369452059,2795.5402604565,1.35297415937372,0.078,0.699,0.057,0.456,-1.21633103346249
8,40,0.6,16,2,0.0755961579165221,1901.42326018207,1.58041886095554,0.078,0.682,0.06,0.43,-1.23737456516993
